created_at,entry_id,field1,field2
2017-05-29 04:59:53 UTC,16,248.7,104.8
2017-05-29 05:07:23 UTC,17,253.9,107
2017-05-29 05:11:53 UTC,18,253.6,117.3
2017-05-29 05:19:23 UTC,19,244.8,118.1
2017-05-29 05:25:23 UTC,20,248.8,118.4
2017-05-29 05:34:23 UTC,21,250.3,122.1
2017-05-29 05:38:53 UTC,22,249,141.1
2017-05-29 05:44:53 UTC,23,251.9,143.7
2017-05-29 05:49:23 UTC,24,251.5,143.8
2017-05-29 05:52:23 UTC,25,247.5,145.7
2017-05-29 05:56:53 UTC,26,249.2,149.9
2017-05-29 06:02:53 UTC,27,244.3,151.4
2017-05-29 06:10:23 UTC,28,255.7,150.6
2017-05-29 06:13:23 UTC,29,246.1,151.4
2017-05-29 06:20:53 UTC,30,245.4,150.9
2017-05-29 06:25:23 UTC,31,248.5,151.8
2017-05-29 06:34:23 UTC,32,246.4,149.1
2017-05-29 06:40:23 UTC,33,249.9,149.5
2017-05-29 06:46:23 UTC,34,248.1,150.2
2017-05-29 06:50:53 UTC,35,255.3,151.3
2017-05-29 06:55:23 UTC,36,255,151.8
2017-05-29 07:01:23 UTC,37,244.7,149
2017-05-29 07:10:23 UTC,38,252.8,149.3
2017-05-29 07:16:23 UTC,39,247.3,150.3
2017-05-29 07:19:23 UTC,40,249.1,151.3
2017-05-29 07:28:23 UTC,41,250.6,150.6
2017-05-29 07:34:23 UTC,42,255.2,151.3
2017-05-29 07:43:23 UTC,43,249,149.4
2017-05-29 07:47:53 UTC,44,255.7,151.1
2017-05-29 07:55:23 UTC,45,247.7,154.9
2017-05-29 07:58:23 UTC,46,252.4,148.9
2017-05-29 08:02:53 UTC,47,252,151.3
2017-05-29 08:10:23 UTC,48,250.5,152.1
2017-05-29 08:17:53 UTC,49,252.3,149.3
2017-05-29 08:26:53 UTC,50,252,150.1
2017-05-29 08:34:23 UTC,51,246.2,149.5
2017-05-29 08:40:23 UTC,52,245.6,151.2
2017-05-29 08:47:53 UTC,53,255.9,149.5
2017-05-29 08:56:53 UTC,54,246.1,152.1
2017-05-29 09:05:53 UTC,55,244.5,149
2017-05-29 09:14:53 UTC,56,250.7,149
2017-05-29 09:22:23 UTC,57,254.5,151.5
2017-05-29 09:28:23 UTC,58,252,151.7
2017-05-29 09:31:23 UTC,59,266.3,156.7
2017-05-29 09:35:53 UTC,60,248.5,151.3
2017-05-29 09:38:53 UTC,61,249.5,150.6
2017-05-29 09:44:53 UTC,62,255.7,150.8
2017-05-29 09:53:53 UTC,63,245.9,149.5
2017-05-29 09:58:23 UTC,64,254.2,153.5
2017-05-29 10:07:23 UTC,65,251.7,149.1
2017-05-29 10:11:53 UTC,66,248.5,149.1
2017-05-29 10:16:23 UTC,67,246.4,150
2017-05-29 10:22:23 UTC,68,249.2,150.9
2017-05-29 10:26:53 UTC,69,249.8,151.8
2017-05-29 10:34:23 UTC,70,245.5,151.1
2017-05-29 10:38:53 UTC,71,251.1,151.1
2017-05-29 10:47:53 UTC,72,246.8,151.1
2017-05-29 10:52:23 UTC,73,248.6,151.5
2017-05-29 10:56:53 UTC,74,255.2,153.9
2017-05-29 11:04:23 UTC,75,247.1,150.6
2017-05-29 11:13:23 UTC,76,247.5,150
2017-05-29 11:22:23 UTC,77,251.4,151.9
2017-05-29 11:29:53 UTC,78,247.2,149.7
2017-05-29 11:37:23 UTC,79,253.8,150.5
2017-05-29 11:46:23 UTC,80,255.7,151.3
2017-05-29 11:55:23 UTC,81,252.7,149.7
2017-05-29 11:59:53 UTC,82,248.2,151.6
2017-05-29 12:07:23 UTC,83,251,150.6
2017-05-29 12:11:53 UTC,84,245.4,151.8
2017-05-29 12:17:53 UTC,85,254.8,150
2017-05-29 12:25:23 UTC,86,254.5,152
2017-05-29 12:32:53 UTC,87,253.7,152.7
2017-05-29 12:37:23 UTC,88,247.2,152.5
2017-05-29 12:44:53 UTC,89,251.1,153.4
2017-05-29 12:53:53 UTC,90,244.4,158
2017-05-29 13:02:53 UTC,91,249.1,158.8
2017-05-29 13:11:53 UTC,92,247.8,159
2017-05-29 13:16:23 UTC,93,246,160.8
2017-05-29 13:25:23 UTC,94,246.2,161.1
2017-05-29 13:32:53 UTC,95,249.1,161.2
2017-05-29 13:40:23 UTC,96,245.2,163
2017-05-29 13:46:23 UTC,97,251.2,163.8
2017-05-29 13:52:23 UTC,98,249.7,165.3
2017-05-29 13:55:23 UTC,99,252.3,169.2
2017-05-29 14:01:23 UTC,100,252.4,172.3
2017-05-29 14:05:53 UTC,101,251.6,174.8
2017-05-29 14:10:23 UTC,102,244.5,175.2
2017-05-29 14:16:23 UTC,103,244.9,176.8
2017-05-29 14:25:23 UTC,104,247.9,178.7
2017-05-29 14:29:53 UTC,105,250.4,181
2017-05-29 14:37:23 UTC,106,251.8,181.3
2017-05-29 14:43:23 UTC,107,248.9,181.4
2017-05-29 14:47:53 UTC,108,253.8,183.7
2017-05-29 14:50:53 UTC,109,252.6,186.2
2017-05-29 14:58:23 UTC,110,255.5,188.8
2017-05-29 15:02:53 UTC,111,250.4,190.4
2017-05-29 15:10:23 UTC,112,247.9,190.7
2017-05-29 15:16:23 UTC,113,245.3,192
2017-05-29 15:20:53 UTC,114,251.3,192.9
2017-05-29 15:28:23 UTC,115,253.3,193.3
